Date,Item,Calories,Protein,Carbs,Fat,Fiber,Steps,DeepWorkHours,WaterLiters,FinancialCheckIn
2026-02-10,Breakfast (Eggs & Toast),450,25,30,22,3,0,0,0,No
2026-02-10,Lunch (Salad & Chicken),656,43,20,35,5,0,0,0,No
2026-02-10,Dinner (Chicken Shish Tawook w/ Brown Rice & Hummus),720,48,65,28,10,3700,0,0,Yes
2026-02-11,Good Protein Smoothie (1 scoop),330,24,45,8.5,13,0,0,0,No
2026-02-11,Canned Salmon (213g),307,49,0,12,0,0,0,0,No
2026-02-11,"2 Angus Beef Burgers, Buns, Asparagus",730,55,53,31,6,0,0,0,No
2026-02-11,Good Protein Smoothie (1 scoop),330,24,45,8.5,13,0,0,0,No
2026-02-12,"3 Eggs + 2 Slices Cobb's Sunflower Flax Sourdough + Butter",495,27,47,20,8,0,0,0,No
2026-02-12,Good Protein Smoothie (2 scoops),660,48,90,17,26,0,0,0,No
2026-02-12,"2 Angus Beef Burgers, Buns, Asparagus",730,55,53,31,6,0,0,0,No
2026-02-13,Good Protein Smoothie (2 scoops),660,48,90,17,26,0,0,0,No
2026-02-13,Oat Milk Latte (16oz),190,4,23,8,2,0,0,0,No
2026-02-13,"Hello Nori Sushi (4 rolls) + Bento Box",925,47,85,32,6,0,0,0,No
